solver,instance,verdict,cpu_time,wall_time,maxrss_kb,exit_code
kissat,07cea7a64248a60d509368d09d3057c2-pj2013_k9.cnf,UNSAT,12.477,12.508,357608,20
sat-solver,081f111af59344b61346367a930e24f6-Break_triple_04_06.xml.cnf,SAT,0.031,0.031,14032,10
minisat,081f111af59344b61346367a930e24f6-Break_triple_04_06.xml.cnf,SAT,0.002,0.002,14032,10
cadical,081f111af59344b61346367a930e24f6-Break_triple_04_06.xml.cnf,SAT,0.008,0.009,14032,10
kissat,081f111af59344b61346367a930e24f6-Break_triple_04_06.xml.cnf,SAT,0.018,0.018,14032,10
sat-solver,0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12.cnf,TIMEOUT,60.481,60.580,35600,0
minisat,0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12.cnf,TIMEOUT,59.998,60.112,36560,0
cadical,0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12.cnf,SAT,41.943,42.026,41272,10
kissat,0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12.cnf,SAT,8.801,8.820,25172,10
sat-solver,08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6.cnf,TIMEOUT,60.008,60.086,65648,0
minisat,08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6.cnf,TIMEOUT,59.998,60.101,94232,0
cadical,08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6.cnf,TIMEOUT,59.998,60.196,101428,-1
kissat,08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6.cnf,TIMEOUT,59.996,60.224,82120,-1
sat-solver,09befe1ffd4e02a988cadecd0a012261-GP_300_140_20.cnf,TIMEOUT,65.040,65.117,1284196,-1
minisat,09befe1ffd4e02a988cadecd0a012261-GP_300_140_20.cnf,TIMEOUT,60.042,60.173,1816172,0
cadical,09befe1ffd4e02a988cadecd0a012261-GP_300_140_20.cnf,SAT,2.733,2.738,2021284,10
kissat,09befe1ffd4e02a988cadecd0a012261-GP_300_140_20.cnf,SAT,1.573,1.577,1130160,10
